from	to	score
CHMP2B	VCP	931
CHMP2B	VPS37A	935
CHMP2B	VPS37D	935
CHRNA1	ACTA1	912
CHRNA1	AGRN	943
CHRNA1	DAG1	905
CHRNA1	DMD	917
CHRNA1	GNB1	906
CHRNA1	LAMA1	900
CHRNA1	LAMA2	913
CHRNA1	LAMB2	908
CHRNA1	PAK1	900
CHRNA1	PAK3	900
CHRNA1	RAPSN	979
CHRNB1	AGRN	955
CHRNB1	MUSK	964
CHST14	DSE	989
CHST14	ZNF469	921
CKAP2L	ASPM	917
CLCF1	CRLF1	999
CLCN6	CAMK2A	900
CLCN6	CAMK2B	900
CLCN6	CAMK2G	900
CLCN6	RAF1	906
CLCNKA	BSND	984
CLP1	PRORP	900
CLPB	HSPD1	958
CLTRN	INS	943
CNOT1	CNOT3	999
CNOT1	DDX6	999
CNOT1	EIF4A2	978
CNOT1	EIF4G1	968
CNOT2	CNOT1	999
CNOT2	CNOT3	999
CNOT2	EIF4A2	907
CNOT2	EIF4G1	931
CNOT3	EIF4G1	932
CNTNAP1	CNTN1	997
CNTNAP1	NFASC	998
CNTNAP2	CNTN1	944
CNTNAP2	FOXP2	918
CNTNAP2	KCNA1	957
CNTNAP2	KCNA2	921
COA6	CHCHD10	926
COA6	CHCHD2	935
COA6	SCO2	934
COA6	TIMM8A	949
COA6	UQCRQ	953
COG1	COG2	999
COG1	COG4	999
COG1	COG6	999
COG1	COG7	999
COG1	COG8	999
COG2	COG6	999
COG3	COG1	999
COG3	COG2	999
COG3	COG4	999
COG3	COG5	999
COG3	COG6	999
COG3	COG7	999
COG3	COG8	999
COG3	GOLGA2	915
COG3	STX5	936
COG3	VPS53	929
COG4	COG2	999
COG4	COG6	999
COG4	VPS53	950
COG5	COG1	999
COG5	COG2	999
COG5	COG4	999
COG5	COG6	999
COG5	COG7	999
COG5	COG8	999
COG6	VPS53	930
COG7	COG2	999
COG7	COG4	999
COG7	COG6	999
COG7	COG8	998
COG8	COG2	998
COG8	COG4	999
COG8	COG6	999
COG8	VPS53	909
COL11A1	COL2A1	959
COL1A1	ADAMTS2	970
COL1A1	BMP1	969
COL1A1	COL1A2	999
COL1A1	COL5A1	955
COL1A1	COL5A2	983
COL1A1	COL6A1	956
COL1A1	COL6A2	948
COL1A1	CRTAP	900
COL1A1	RB1	907
COL1A1	SERPINH1	925
COL1A1	SPARC	989
COL1A2	BMP1	962
COL1A2	COL11A1	954
COL1A2	COL5A1	963
COL1A2	COL5A2	993
COL1A2	COL6A1	931
COL1A2	CRTAP	900
COL1A2	FBN1	930
COL4A2	ALPL	902
COL4A2	COL4A1	999
COL4A2	SERPINH1	918
COL5A1	COL5A2	979
COL6A2	COL5A1	940
COL6A2	COL6A1	996
COL6A3	COL1A2	917
COL6A3	COL6A1	989
COL6A3	COL6A2	990
COMT	DBH	971
COMT	DDC	980
COPB1	ARF1	980
COPB1	COG3	915
COPB1	COPB2	999
COPB1	KDELR2	929
COPB2	ARF1	920
COPB2	EPRS1	910
COQ2	COQ7	933
COQ2	COQ8A	941
COQ2	PDSS2	995
COQ2	PMPCA	905
COQ4	COQ2	946
COQ4	COQ7	976
COQ4	COQ8A	941
COQ4	PDSS2	906
COQ5	COQ2	945
COQ5	COQ4	989
COQ5	COQ7	996
COQ5	COQ8A	970
COQ5	PDSS2	958
COQ7	COQ8A	954
COQ9	COQ2	947
COQ9	COQ4	986
COQ9	COQ5	974
COQ9	COQ7	996
COQ9	COQ8A	967
COQ9	PDSS2	918
COX10	BCS1L	900
COX10	COX5A	909
COX10	SURF1	955
COX11	SCO2	917
COX15	COX10	997
COX15	COX11	924
COX15	COX5A	954
COX15	COX6B1	900
COX15	SCO1	960
COX15	SURF1	984
COX5A	ATP5F1A	944
COX5A	COA6	968
COX5A	COX4I1	999
COX5A	COX8A	992
COX5A	MDH2	922
COX5A	NDUFA1	928
COX5A	NDUFA11	911
COX5A	NDUFA12	996
COX5A	NDUFA13	984
COX5A	NDUFA4	995
COX5A	NDUFA6	993
COX5A	NDUFA8	990
COX5A	NDUFS1	936
COX5A	NDUFS2	987
COX5A	NDUFV1	986
COX5A	NDUFV2	996
COX5A	SDHB	961
COX5A	UQCRQ	999
COX6A2	COX4I1	988
COX6A2	COX5A	999
COX6A2	NDUFA12	960
COX6A2	NDUFA6	927
COX6A2	NDUFA8	923
COX6A2	NDUFB8	905
COX6A2	UQCRFS1	957
COX6A2	UQCRQ	990
COX6B1	COX4I1	998
COX6B1	COX5A	999
COX6B1	COX6A2	996
COX6B1	COX8A	993
COX6B1	NDUFA1	917
COX6B1	NDUFA10	921
COX6B1	NDUFA12	934
COX6B1	NDUFA2	923
COX6B1	NDUFA4	993
COX6B1	NDUFA6	947
COX6B1	NDUFA8	944
COX6B1	NDUFA9	919
COX6B1	NDUFB10	955
COX6B1	NDUFB9	952
COX6B1	NDUFS1	901
COX6B1	NDUFS3	918
COX6B1	NDUFS4	904
COX6B1	NDUFS6	904
COX6B1	NDUFS8	906
COX6B1	NDUFV1	916
COX6B1	NDUFV2	917
COX6B1	UQCRFS1	990
COX6B1	UQCRQ	991
COX8A	COX4I1	990
COX8A	NDUFA4	987
CP	FXN	909
CPE	BDNF	984
CPLX1	CASK	905
CPLX1	STXBP1	930
CPLX1	SYT2	903
CPLX1	VAMP2	995
CPSF3	CLP1	970
CPSF3	NUP133	908
CPSF3	NUP214	928
CPSF3	NUP54	912
CPSF3	NUP62	909
CPSF3	PPP1CB	930
CPSF3	RANBP2	910
CPSF3	TPR	914
CPT1A	ACOX1	984
CPT1A	CPT2	937
CPT1A	HSD17B4	914
CPT1A	SLC25A20	982
CPT1A	TBL1XR1	900
CPT2	ACADVL	987
CPT2	CPT1C	936
CPT2	TBL1XR1	901
CRAT	AMACR	921
CRAT	GNPAT	933
CRAT	HMGCL	936
CRAT	HSD17B4	992
CRAT	IDH1	916
CRAT	MPV17	903
CRAT	SLC25A20	966
CREBBP	ACADM	900
CREBBP	ACOX1	904
CREBBP	ACTB	948
CREBBP	AR	991
CREBBP	ARID1A	978
CREBBP	CDH2	958
CREBBP	CPT1A	904
CREBBP	CPT2	903
CREBBP	CTBP1	968
CREBBP	CTNNB1	999
CREBBP	EP300	996
CREBBP	H1-4	922
CREBBP	HNF4A	901
CREBBP	HSD17B4	901
CREBBP	HTT	999
CREBBP	KAT6A	914
CREBBP	KMT2A	992
CREBBP	KMT2D	920
CREBBP	MEF2C	941
CREBBP	PLXND1	902
CREBBP	POLR2A	969
CREBBP	PPARGC1A	984
CREBBP	RARB	915
CREBBP	RB1	951
CREBBP	RBPJ	956
CREBBP	SMAD4	992
CREBBP	SMARCA4	988
CREBBP	SMARCB1	963
CREBBP	SMARCC2	937
CREBBP	SMARCD1	932
CREBBP	SMARCE1	931
CREBBP	SNIP1	953
CREBBP	SRCAP	959
CREBBP	STAT3	995
CREBBP	TP53	999
CREBBP	VDR	974
CRIPTO	SOX2	967
CRTAP	P4HB	948
CRTAP	SERPINH1	982
CRX	ATXN7	930
CSF1R	HRAS	953
CSF1R	TREM2	914
CSNK2A1	CSNK2B	999
CSNK2A1	CTNNB1	903
CSNK2A1	PAFAH1B1	930
CSNK2A1	PTEN	976
CSNK2A1	SIN3A	923
CSNK2A1	SNCA	974
CSNK2A1	TP53	992
CTBP1	BCORL1	905
CTBP1	CTNNB1	993
CTBP1	FOXP2	979
CTBP1	KDM1A	999
CTBP1	MRE11	903
CTBP1	PCGF2	914
CTBP1	RAD50	900
CTBP1	RBPJ	968
CTBP1	RNF2	921
CTBP1	SIN3A	961
CTBP1	SMAD4	927
CTBP1	SNAI2	985
CTBP1	SPEN	966
CTBP1	TGIF1	991
CTBP1	UBA1	906
CTBP1	ZEB2	995
CTCF	CHD8	993
CTCF	IGF2	928
CTCF	POLR2A	930
CTCF	RAD21	996
CTCF	SIN3A	979
CTCF	SMAD4	938
CTCF	SMC3	960
CTCF	SUZ12	992
CTCF	UBTF	901
CTNNB1	ACTA1	936
CTNNB1	APC2	998
CTNNB1	AR	999
CTNNB1	BDNF	966
CTNNB1	CBY1	999
CTNNB1	CDC42	995
CTNNB1	CHD8	996
CTNNB1	CTNNA2	999
CTNNB1	DNM2	959
CTNNB1	EFL1	925
CTNNB1	EMD	981
CTNNB1	FGFR1	990
CTNNB1	GDNF	940
CTNNB1	GRIN2B	910
CTNNB1	IGF2	959
CTNNB1	MED12	998
CTNNB1	PAK3	919
CTNNB1	PPP2R5D	926
CTNNB1	PRKCZ	959
CTNNB1	PTEN	975
CTNNB1	RAC1	957
CTNNB1	RBPJ	961
CTNNB1	RET	968
CTNNB1	SATB1	946
CTNNB1	SIAH1	986
CTNNB1	SMARCA4	999
CTNNB1	TBL1XR1	996
CTNNB1	TBP	955
CTNNB1	TCF4	999
CTNNB1	TGFBR2	969
CTNNB1	TRPV4	919
CTNNB1	TRRAP	981
CTNNB1	VDR	985
CTNND2	CTNNB1	906
CTNND2	PSEN1	993
CTSD	EP300	914
CTSD	HLA-DQB1	903
CTSD	HLA-DRB1	910
CTSD	PSAP	928
CTSD	TPO	905
CYB5A	ALDH3A2	922
CYB5A	CYB5R3	996
CYB5A	EMD	900
CYP24A1	CYP27B1	925
CYP24A1	CYP2R1	952
CYP24A1	VDR	921
CYP27A1	CYP7B1	940
CYP27A1	DHCR7	926
CYP27B1	CYP2R1	968
CYP27B1	VDR	994
D2HGDH	IDH2	946
D2HGDH	SUOX	953
DAB1	GRIN2A	917
DAB1	GRIN2B	921
DAB1	PAFAH1B1	984
DAB1	RELN	992
DAB1	VLDLR	995
DAO	ACOX1	936
DAO	AMACR	914
DAO	CRAT	916
DAO	GLDC	936
DAO	GNPAT	939
DAO	HMGCL	905
DAO	HSD17B4	924
DAO	IDH1	902
DAO	MLYCD	909
DAO	MPV17	906
DAO	SARDH	936
DAO	SHMT2	941
DARS1	AIMP1	997
DARS1	EPRS1	999
DARS1	GARS1	947
DARS1	IARS1	999
DARS1	KARS1	995
DARS1	LARS1	999
DARS1	QARS1	999
DARS1	YARS1	914
DARS2	EARS2	930
DARS2	RARS2	915
DARS2	SARS2	902
DBH	DDC	987
DBT	ALDH6A1	956
DBT	BCKDK	937
DBT	IVD	976
DBT	LIPT1	963
DBT	PCCA	973
DBT	PCCB	959
DCPS	SUOX	941
DCTN1	AR	922
DCTN1	DYNC1I2	998
DCTN1	KIF5A	921
DCTN1	PAFAH1B1	999
DCTN1	RAB18	904
DCTN1	RAB3GAP1	905
DCX	NFASC	967
DCX	PAFAH1B1	908
DDB1	ACTB	930
DDB1	CUL4B	999
DDB1	XPA	975
DDB2	ACTB	928
DDB2	CUL4B	997
DDB2	DDB1	999
DDB2	ERCC8	942
DDB2	TP53	967
DDB2	XPA	975
DDB2	XPC	989
DDB2	YY1	904
DDC	PAH	966
DDX3X	EIF4G1	994
DEGS1	ACER3	959
DEGS1	ASAH1	955
DEGS1	GBA2	930
DENND5A	GDI1	903
DENND5A	RAB39B	951
DGCR8	AGO1	967
DGCR8	MECP2	979
DGCR8	TP53	957
DGUOK	ITPA	908
DGUOK	PNP	944
DHCR24	EBP	961
DHCR24	LSS	979
DHCR7	DHCR24	993
DHCR7	LSS	967
DHCR7	NSDHL	966
DHDDS	NUS1	997
DHDDS	PDSS2	930
DHFR	PAH	932
DHPS	DOHH	998
DHPS	EIF5A	999
DHTKD1	GCSH	917
DHTKD1	LIPT1	909
DHX16	CWC27	998
DHX16	WBP4	903
DHX9	AGO1	977
DHX9	DDX6	970
DHX9	HNRNPC	948
DHX9	HNRNPK	943
DIAPH1	CYFIP2	920
DIS3L2	EXOSC1	903
DIS3L2	EXOSC3	939
DISP1	SHH	995
DKC1	HNRNPC	944
DKC1	NOP56	999
DLAT	ACACA	930
DLAT	ACAT2	955
DLAT	BCKDHB	900
DLAT	GCSH	985
DLAT	LIPT1	983
DLAT	PC	912
DLAT	PDHA1	999
DLAT	PDHB	999
DLAT	PDP1	955
DLAT	SUCLA2	974
DLAT	SUCLG1	985
DLD	ACAD8	913
DLD	ACADSB	919
DLD	ATP5F1A	924
DLD	BCKDHA	993
DLD	BCKDHB	996
DLD	BCKDK	933
DLD	DBT	997
DLD	DHTKD1	971
DLD	DLAT	999
DLD	FH	952
DLD	GCDH	953
DLD	GCSH	990
DLD	GLDC	987
DLD	IVD	929
DLD	LIPT1	975
DLD	MDH2	979
DLD	NDUFA10	900
DLD	NDUFA9	921
DLD	NDUFS1	964
DLD	NDUFS2	961
DLD	OGDH	998
DLD	PCCA	927
DLD	PCCB	911
DLD	PDHA1	998
DLD	PDHB	999
DLD	PDHX	999
DLD	PDP1	963
DLD	SHMT2	962
DLD	SUCLA2	982
DLD	SUCLG1	907
DLG3	GRIA3	946
DLG3	GRIK2	913
DLG3	GRIN2A	995
DLG3	GRIN2B	998
DLG3	HRAS	941
DLG3	NBEA	991
DLG3	SYNGAP1	912
DLL1	DNM1	901
DLL1	MECP2	904
DLL4	DLL1	909
DLL4	JAG1	941
DLL4	NOTCH3	956
DMD	ACTA1	971
DMD	AGRN	992
DMD	AQP4	989
DMD	CDC42	924
DMD	DAG1	999
DMD	LAMA1	916
DMD	LAMA2	986
DMD	LAMB2	916
DMD	NEB	937
DMD	SGCE	962
DMD	TTN	905
DNA2	BRCA2	913
DNA2	CHEK2	919
DNA2	POLD1	928
DNA2	RTEL1	970
DNAJC19	TIMM50	958
DNAJC6	AP1G1	936
DNAJC6	AP1S2	940
DNAJC6	CLTC	998
DNAJC6	CLTCL1	962
DNM1	CLTC	933
DNM1	DNM2	918
DNM1	EDN1	900
DNM1	GABRA1	936
DNM1	GABRA2	918
DNM1	PPP3CA	940
DNM1	SYNJ1	986
DNM2	CLTC	950
DNMT1	CDKL5	933
DNMT1	KDM1A	974
DNMT1	MECP2	993
DNMT3A	DNMT1	998
DNMT3A	EZH2	997
DNMT3A	MECP2	909
DNMT3A	PCGF2	926
DNMT3A	RNF2	931
DNMT3A	SMARCA4	930
DNMT3A	TP53	979
DOCK11	CDC42	976
DOCK6	CDC42	966
DOCK6	RAC1	931
DOCK7	CDC42	985
DOCK7	RAC1	951
DOLK	DPAGT1	976
DPM1	ALG3	981
DPM1	DOLK	990
DPM1	DPAGT1	987
DPM1	PIGV	921
DPM1	POMT1	985
DPM2	ALG3	945
DPM2	DOLK	991
DPM2	DPAGT1	949
DPM2	DPM1	999
DPM2	GMPPA	920
DPM2	PIGA	981
DPM2	PIGP	992
DPM2	PIGV	955
DPM2	PIGY	985
DPM2	POMT1	982
DTYMK	ENTPD1	932
DTYMK	NT5C2	900
DUOXA2	DUOX2	999
DYNC1H1	AR	901
DYNC1H1	BICD2	989
DYNC1H1	DCTN1	999
DYNC1H1	DYNC1I2	999
DYNC1H1	PAFAH1B1	999
DYNC1H1	RAB18	908
DYNC1H1	RAB3GAP1	911
DYNC1H1	RAB3GAP2	917
DYNC1I2	PAFAH1B1	939
DYNC1I2	RAB18	902
DYNC1I2	RAB3GAP1	903
ECHS1	ACADSB	983
ECHS1	ACADVL	979
ECHS1	ETFA	947
ECHS1	HADH	998
ECHS1	HADHA	947
ECHS1	IVD	962
EDN1	ADCY5	910
EDN1	CDC42	930
EDN1	GNB1	900
EDN1	HRAS	930
EDN1	PLCB3	953
EDN1	PRKAR1B	900
EDN3	EDNRB	999
EDNRB	EDN1	999
EDNRB	PLCB3	912
EED	ASXL1	937
EED	BAP1	906
EED	DNMT1	920
EED	EZH2	999
EED	JARID2	998
EED	KDM6A	967
EED	KMT2D	950
EED	PCGF2	968
EED	POLR2A	918
EED	RNF2	985
EED	SUZ12	999
EED	TBL1XR1	913
EED	UBAP2L	903
EFEMP2	ELN	934
EFNB1	CDC42	941
EFNB1	DNM1	963
EFNB1	GJA1	980
EFNB1	HRAS	934
EFNB1	KRAS	920
EFNB1	MAP2K1	907
EFNB1	MAP3K7	913
EFNB1	NRAS	910
EFNB1	PAK1	904
EFNB1	PIK3CA	904
EFNB1	RAC1	922
EFNB1	RRAS	924
EFNB1	STAT3	930
EFNB1	SYNJ1	908
EFNB1	TIAM1	945
EGR2	MAG	949
EGR2	MPZ	980
EGR2	PMP22	966
EGR2	PRX	966
EGR2	SOX10	987
EIF2AK1	EIF2S3	958
EIF2AK2	EIF2S3	928
EIF2AK2	STAT3	982
EIF2AK2	TP53	977
EIF2AK3	FLNA	911
EIF2B2	EIF2B1	999
EIF2B2	EIF2B4	999
EIF2B4	EIF2B1	999
EIF2S3	EIF2AK3	919
EIF2S3	EIF2B1	996
EIF2S3	EIF2B2	999
EIF2S3	EIF2B4	996
EIF2S3	EIF3F	983
EIF2S3	EIF4A2	956
EIF2S3	EIF4G1	993
EIF2S3	EPRS1	923
EIF2S3	RPS20	985
EIF2S3	RPS23	988
EIF4A2	CNOT3	913
EIF4A2	EIF4G1	999
EIF4A2	PARN	934
EIF4G1	EIF3F	973
EIF4G1	PPP2R5D	910
EIF4H	EIF4A2	979
EIF4H	EIF4G1	938
EIF5A	DOHH	998
ELP1	ELP2	999
ENTPD1	ADSL	902
ENTPD1	AMPD1	950
ENTPD1	ITPA	918
ENTPD1	NUDT2	904
EP300	ACOX1	903
EP300	AGO1	910
EP300	APP	967
EP300	AR	997
EP300	ARID1A	949
EP300	ATG7	954
EP300	BRD4	934
EP300	CHD3	939
EP300	CHD4	986
EP300	CPT1A	912
EP300	CTBP1	978
EP300	CTCF	944
EP300	CTNNB1	999
EP300	EDN1	926
EP300	EED	927
EP300	EZH2	982
EP300	FOXH1	926
EP300	GATAD2B	914
EP300	H1-4	920
EP300	HDAC4	903
EP300	HNF4A	969
EP300	HSD17B4	900
EP300	KAT6A	981
EP300	KDM6A	922
EP300	KMT2A	949
EP300	KMT2B	924
EP300	KMT2D	981
EP300	LDHA	945
EP300	MEF2C	979
EP300	MITF	989
EP300	NOTCH1	997
EP300	PAX6	957
EP300	PBX1	968
EP300	PLXND1	902
EP300	POLR2A	974
EP300	PPARGC1A	992
EP300	RARB	939
EP300	RB1	990
EP300	RBPJ	983
EP300	SMAD4	999
EP300	SMARCA4	977
EP300	SNIP1	966
EP300	SPEN	963
EP300	STAT3	999
EP300	SUZ12	950
EP300	TAF1	945
EP300	TBP	989
EP300	TNRC6B	911
EP300	TP53	999
EP300	VDR	979
EP300	ZNF148	981
EPB41L1	CAMK2A	909
EPB41L1	CAMK2B	909
EPB41L1	GRIA3	933
EPB41L1	GRIK2	912
EPB41L1	SLC12A5	954
EPCAM	CTNNB1	959
EPM2A	NFU1	901
EPRS1	AIMP1	999
EPRS1	BBS10	946
EPRS1	CARS1	974
EPRS1	GARS1	994
EPRS1	IARS1	999
EPRS1	LARS1	999
EPRS1	PARS2	997
EPRS1	POLG2	984
EPRS1	RARS2	964
EPRS1	SARS2	918
EPRS1	TARS1	964
EPRS1	TARS2	951
EPRS1	VARS1	989
EPRS1	VARS2	977
EPRS1	YARS1	998
ERBB4	GFAP	934
ERBB4	GRIN2A	957
ERBB4	GRIN2B	968
ERBB4	HRAS	982
ERBB4	ITCH	985
ERBB4	NRAS	970
ERBB4	PSEN2	938
ERBB4	SOS1	950
ERBB4	WWOX	997
ERCC1	ATM	983
ERCC1	DDB1	932
ERCC1	DNA2	959
ERCC1	ERCC2	979
ERCC1	ERCC3	949
ERCC1	ERCC4	999
ERCC1	ERCC5	994
ERCC1	ERCC8	969
ERCC1	KDM1A	904
ERCC1	LIG4	979
ERCC1	MRE11	965
ERCC1	MSH2	998
ERCC1	MSH6	985
ERCC1	PHF21A	906
ERCC1	PMS2	907
ERCC1	POLD1	958
ERCC1	RAD50	940
ERCC1	USP45	987
ERCC1	WDR48	936
ERCC1	XPA	999
ERCC1	XPC	987
ERCC2	GTF2H5	999
ERCC2	POLR2A	980
ERCC2	TAF1	903
ERCC2	TAF6	904
ERCC2	TBP	990
ERCC3	ERCC2	999
ERCC3	ERCC4	992
ERCC3	ERCC5	991
ERCC3	GTF2E2	999
ERCC3	GTF2H5	999
ERCC3	POLR2A	997
ERCC3	TAF1	921
ERCC3	TAF2	933
ERCC3	TAF6	919
ERCC3	TAF8	914
ERCC3	TBP	998
ERCC3	XPA	991
ERCC4	DNA2	956
ERCC4	ERCC2	971
ERCC4	ERCC5	995
ERCC4	KDM1A	901
ERCC4	LIG4	981
ERCC4	MRE11	975
ERCC4	PHF21A	926
ERCC4	POLD1	968
ERCC4	RAD50	932
ERCC4	XPA	997
ERCC5	ERCC2	984
ERCC5	ERCC6	952
ERCC5	KDM1A	902
ERCC5	LIG4	979
ERCC5	PHF21A	915
ERCC5	POLD1	961
ERCC5	XPA	978
ERCC6	POLR2A	969
ERCC6	XPA	922
ERCC8	ATM	931
ERCC8	CUL4B	979
ERCC8	DDB1	999
ERCC8	ERCC3	900
ERCC8	ERCC4	978
ERCC8	ERCC5	981
ERCC8	ERCC6	988
ERCC8	KDM1A	900
ERCC8	LIG4	939
ERCC8	PHF21A	903
ERCC8	POLD1	933
ERCC8	XPA	911
ERCC8	XPC	933
ERLIN2	AMFR	983
ERLIN2	ERLIN1	975
ERLIN2	HRAS	900
ERLIN2	ITPR1	930
ERLIN2	NRAS	900
ETFB	ACADM	925
ETFB	ETFA	999
ETFB	ETFDH	999
ETFDH	ETFA	999
ETHE1	SUOX	988
EXOC2	ARHGEF2	944
EXOC2	EXOC8	999
EXOC2	MYO5A	954
EXOC2	RAC1	943
EXOC2	TBK1	997
EXOC8	MYO5A	946
EXOSC1	EXOSC8	999
EXOSC1	EXOSC9	999
EXOSC1	PNPT1	966
EXOSC3	EXOSC1	999
EXOSC3	EXOSC8	999
EXOSC3	EXOSC9	999
EXOSC3	PNPT1	955
EXOSC5	EXOSC1	999
EXOSC5	EXOSC3	999
EXOSC5	EXOSC8	999
EXOSC5	EXOSC9	999
EXOSC5	NOP56	972
EXOSC5	PNPT1	962
EXOSC8	PNPT1	957
EXOSC9	EXOSC8	999
EXOSC9	PNPT1	960
EXT1	AGRN	947
EXT1	EXT2	956
EXT1	GPC3	957
EYA1	RAD50	900
EZH2	AR	996
EZH2	ASXL1	992
EZH2	ATRX	900
EZH2	BAP1	929
EZH2	CHD4	992
EZH2	CTNNB1	983
EZH2	DNMT1	999
EZH2	JARID2	999
EZH2	KDM1A	990
EZH2	KDM6A	988
EZH2	PCGF2	968
EZH2	POLR2A	938
EZH2	RNF2	991
EZH2	SNAI2	947
EZH2	TBL1XR1	928
EZH2	UBAP2L	900
FA2H	ACER3	936
FAR1	GNPAT	910
FARS2	YARS1	935
FARS2	YARS2	907
FARSA	EPRS1	915
FARSA	KARS1	908
FARSA	YARS1	968
FARSB	EPRS1	994
FARSB	FARS2	988
FARSB	FARSA	999
FARSB	IARS1	937
FARSB	KARS1	901
FARSB	YARS1	956
FBLN1	ELN	974
FBLN5	ELN	997
FBN1	ADAMTSL2	953
FBN1	COL5A1	900
FBN1	ELN	995
FBXO7	PINK1	950
FBXW11	CTNNB1	998
FBXW11	GLI2	929
FBXW11	PLK4	903
FBXW11	PSEN1	907
FBXW7	CDK8	903
FDX2	FDXR	984
FDX2	LYRM4	985
FGF13	FGFR1	991
FGF13	HSPG2	928
FGF17	FGFR1	903
FGF17	HRAS	908
FGF17	NRAS	904
FGF8	FGFR1	999
FGF8	FGFR3	997
FGF8	FGFRL1	947
FGF8	HRAS	939
FGF8	NRAS	911
FGFR1	HRAS	981
FGFR1	ZMYM2	969
FGFR3	FGF17	902
FGFR3	HRAS	982
FGFR3	NRAS	967
FGFR3	PTPN11	965
FGFR3	SOS1	938
FH	ATP5F1A	913
FH	MDH1	988
FH	SDHB	993
FH	SDHD	992
FH	SUCLG1	966
FH	TKT	917
FIG4	MTM1	967
FIG4	MTMR14	950
FIG4	VAC14	999
FKRP	POMT1	915
FKTN	CRPPA	990
FKTN	FKRP	992
FKTN	POMGNT1	974
FKTN	POMK	985
FKTN	POMT1	956
FKTN	POMT2	950
FKTN	RXYLT1	908
FLAD1	ACP5	903
FLCN	FNIP1	999
FLNA	AR	993
FLNA	BRCA2	965
FLNA	CASR	988
FLNA	CDC42	917
FLNA	IKBKG	927
FLNA	TTN	951
FLRT3	FGFR1	915
FMR1	AGO1	951
FMR1	CYFIP2	983
FOXG1	SMAD4	938
FOXRED1	NDUFS2	908
FOXRED1	NDUFS3	908
FTH1	FTL	982
FUS	ATXN2	936
FUS	HNRNPU	900
FUS	MATR3	921
FUS	NONO	922
FUS	VCP	925
FUT8	B4GALT1	978
FXN	FDX2	980
FXN	LYRM4	999
FXR1	CAMK2A	934
FXR1	CAMK2B	925
FXR1	CYFIP2	986
FXR1	FMR1	976
FZR1	ANAPC7	999
GABBR1	CASR	955
GABBR2	GABBR1	998
GABBR2	GABRB2	903
GABRA1	GABRA2	917
GABRA1	GABRG2	987
GABRA1	GPHN	981
GABRA5	DNM1	913
GABRA5	GABRA1	933
GABRA5	GABRA2	910
GABRA5	GPHN	954
GABRB1	GABRA1	935
GABRB1	GABRB3	907
GABRB2	GABRA1	971
GABRB2	GABRG2	909
GABRB3	GABRA1	991
GABRB3	GABRG2	929
GAD1	ABAT	974
GAD1	MECP2	958
GALC	ASAH1	953
GALC	DEGS1	916
GALC	GBA1	954
GALC	GBA2	941
GALC	NEU1	905
GALC	SMPD1	960
GALC	SMPD4	929
GALNT2	RAB18	902
GALNT2	RAB3GAP1	900
GALT	B4GALT1	932
GALT	GALE	999
GARS1	GPHN	990
GARS1	LARS1	944
GARS1	SARS2	903
GARS1	TARS1	980
GARS1	VARS2	909
GAS1	CDON	974
GAS1	PTCH1	993
GATAD2B	BRPF1	900
GATAD2B	CHD3	996
GATAD2B	KAT6A	902
GATAD2B	TBP	906
GBA1	ASAH1	956
GBA1	DEGS1	933
GBA1	GBA2	956
GBA1	PSAP	957
GBA1	SMPD1	903
GBA1	SNCA	946
GBA2	ASAH1	963
GCDH	ACADS	924
GCDH	ACADSB	946
GCDH	ACOX1	947
GCDH	DHTKD1	958
GCDH	ECHS1	967
GCDH	HADHA	955
GCK	GLB1	900
GCK	INS	934
GCK	NUP107	900
GCK	NUP133	900
GCK	NUP214	900
GCK	NUP54	900
GCK	NUP62	900
GCK	PDX1	972
GCK	PGM1	939
GCK	RANBP2	910
GCK	SIN3A	908
GCK	TPR	902
GCSH	DBT	947
GCSH	GLDC	999
GCSH	LIPT1	993
GCSH	PDHA1	920
GCSH	SHMT2	979
GDAP1	ALDH3A2	913
GDAP1	ATAD1	914
GDAP1	PEX11B	935
GDAP1	PEX12	913
GDAP1	PEX13	916
GDAP1	PEX14	913
GDAP1	PEX16	937
GDAP1	PEX2	903
GDAP1	PEX26	939
GDF6	BMPR1A	939
GDI1	RAB3GAP1	932
GDI1	TRAPPC4	918
GDNF	BDNF	950
GEMIN4	NUP214	903
GEMIN4	NUP62	905
GEMIN4	SMN1	994
GEMIN4	TPR	900
GEMIN5	GEMIN4	998
GEMIN5	NUP214	913
GEMIN5	NUP62	913
GEMIN5	SMN1	993
GEMIN5	TPR	903
GET4	CAMLG	957
GFER	CHCHD10	942
GFER	CHCHD2	931
GFER	COA6	937
GFER	TIMM8A	976
GFM1	MRPS14	933
GFPT1	HK1	937
GJA1	ACTB	963
GJA1	CTNNB1	998
GJA1	DCTN1	915
GLB1	B4GALNT1	923
GLB1	B4GALT1	932
GLB1	GBA1	968
GLB1	GBA2	926
GLB1	HK1	900
GLB1	NEU1	987
GLE1	NUP214	999
GLE1	NUP62	994
GLE1	SON	908
GLE1	TPR	982
GLRA1	GPHN	921
GLRB	GPHN	988
GLRX5	BOLA3	998
GLRX5	FXN	958
GLRX5	IBA57	937
GLRX5	ISCA1	999
GLRX5	ISCA2	998
GLRX5	NFU1	984
GLS	CPS1	918
GLS	GAD1	937
GLS	GFPT1	937
GLUL	ABAT	950
GLUL	ALDH18A1	960
GLUL	CPS1	962
GLUL	GAD1	950
