from	to	score
MAPK1	TP53	991
SUPT16H	TP53	956
VRK1	TP53	964
CSNK2A1	TP53	992
STUB1	TP53	966
AGO2	TP53	972
MLH1	TP53	976
UBE3A	TP53	999
EIF2AK2	TP53	977
MSH2	TP53	990
RRM2B	TP53	996
MED17	TP53	962
TAF4	TP53	921
KDM6B	TP53	960
KRAS	TP53	919
DDB2	TP53	967
TTC5	TP53	922
KMT2C	TP53	914
YY1	TP53	994
CREBBP	TP53	999
HIRA	TP53	926
DGCR8	TP53	957
EP300	TP53	999
BRD4	TP53	990
PIK3CA	TP53	904
DNMT3A	TP53	979
PPARGC1A	TP53	981
PMS2	TP53	966
RB1	TP53	990
POLG	TP53	904
DLD	BCKDHA	993
PSMB1	SOD1	937
PRDX1	SOD1	962
PPARGC1A	SOD1	922
YWHAE	SIK1	937
TP53	SIK1	921
STX1A	SLC6A3	966
PPARGC1A	PRDM16	988
KIF11	PLK4	955
FBXW11	PLK4	903
OSGEP	TPRKB	999
MTX2	LNPK	922
ARSA	SUMF1	985
ATP6V1E1	ATP6V1A	999
ATP6V0A1	ATP6V1A	997
TRMT5	TRMT10A	912
UQCRC1	NDUFS6	964
ATP5F1D	NDUFS6	987
NDUFS7	NDUFS6	999
NDUFB3	NDUFS6	998
ATP5F1E	NDUFS6	931
COX6B1	NDUFS6	904
NDUFA2	NDUFS6	999
NDUFA10	NDUFS6	999
NDUFAF1	NDUFS6	969
NDUFS3	NDUFS6	999
NDUFA9	NDUFS6	999
NDUFB10	NDUFS6	999
GABBR2	GABRB2	903
MCEE	MMUT	991
ATP5F1D	NDUFB11	947
NDUFS7	NDUFB11	998
NDUFB3	NDUFB11	995
NDUFA2	NDUFB11	999
NDUFA10	NDUFB11	992
NDUFAF1	NDUFB11	999
NDUFS3	NDUFB11	999
NDUFA9	NDUFB11	999
NDUFB10	NDUFB11	999
NDUFS6	NDUFB11	996
SOX9	NONO	943
FUS	NONO	922
ATP6V1E1	ATP6V1B2	999
ATP6V0A1	ATP6V1B2	998
ATP6V1A	ATP6V1B2	999
KRAS	ERLIN2	900
MRPS34	MRPS28	990
PTCD3	MRPS28	988
UQCRC1	NDUFB9	995
ATP5F1D	NDUFB9	989
NDUFS7	NDUFB9	999
NDUFB3	NDUFB9	998
COX6B1	NDUFB9	952
NDUFA2	NDUFB9	999
NDUFA10	NDUFB9	999
NDUFAF1	NDUFB9	951
NDUFS3	NDUFB9	999
NDUFA9	NDUFB9	999
NDUFB10	NDUFB9	999
NDUFS6	NDUFB9	999
NDUFB11	NDUFB9	999
RAP1B	NTRK2	913
KRAS	NTRK2	944
KIDINS220	NTRK2	969
STAT3	NTRK2	938
CDH2	NTRK2	933
AGO2	NOTCH1	931
JAG1	NOTCH1	994
APC	NOTCH1	946
YY1	NOTCH1	983
ST3GAL3	NOTCH1	900
EP300	NOTCH1	997
STAT3	NOTCH1	902
AAAS	HIKESHI	901
NUP107	HIKESHI	919
NUP133	HIKESHI	907
NUP54	HIKESHI	917
EFNB1	PAK1	904
LAMB1	PAK1	902
RAF1	PAK1	972
KRAS	PAK1	939
CHRNA1	PAK1	900
PDGFRB	PAK1	903
GNB5	PAK1	913
MAP2K2	PAK1	926
ERCC1	ATM	983
RFC2	ATM	924
MLH1	ATM	992
MSH2	ATM	989
MSH6	ATM	992
TTC5	ATM	913
TAOK1	ATM	917
TELO2	ATM	976
ERCC8	ATM	931
TP53	ATM	999
PIGU	PIGT	998
MAPK1	DUSP6	999
BBS9	CCT5	905
BBS2	CCT5	903
MKKS	CCT5	979
BBS7	CCT5	904
BBS4	CCT5	905
DLD	DLAT	999
OGDH	DLAT	992
PDHX	DLAT	991
ACAT1	DLAT	970
SPR	PTS	975
PRKG2	PTS	918
GOSR2	SEC24D	911
PSMC1	NGLY1	948
SPTBN4	ANK3	998
UQCRC1	NDUFC2	936
ATP5F1D	NDUFC2	915
NDUFS7	NDUFC2	999
NDUFB3	NDUFC2	998
NDUFA2	NDUFC2	999
NDUFA10	NDUFC2	999
NDUFAF1	NDUFC2	947
NDUFS3	NDUFC2	999
NDUFA9	NDUFC2	997
NDUFB10	NDUFC2	999
NDUFS6	NDUFC2	999
NDUFB11	NDUFC2	997
NDUFB9	NDUFC2	999
WARS2	NARS2	912
MARS1	NARS2	951
DLD	ACAD8	913
BCKDHA	ACAD8	919
SPR	QDPR	982
MCEE	MMAA	925
MMUT	MMAA	998
ACO2	SLC25A4	962
NOTCH1	FBXW7	998
MED17	MED13L	919
MTFMT	MARS2	950
SLC3A1	PPM1B	906
PRKCG	GRIA4	965
STAG2	NIPBL	987
EFNB1	GJA1	980
MAPK1	GJA1	907
CDH2	GJA1	998
FUS	HNRNPU	900
AGO2	RANBP2	917
GCK	RANBP2	910
NUP107	RANBP2	962
CPSF3	RANBP2	910
IPO8	RANBP2	922
NUP133	RANBP2	935
HDAC4	RANBP2	970
NUP54	RANBP2	905
HIKESHI	RANBP2	914
ITGA3	ITGB6	974
TGFB1	ITGB6	961
TP53	UCHL1	971
LZTR1	KLHL41	911
ATP5F1D	ATP5MC3	990
ATP5F1E	ATP5MC3	967
TTR	APP	943
APOE	APP	998
SORL1	APP	999
EP300	APP	967
NOTCH1	APP	988
ERCC1	XPC	987
MSH2	XPC	943
MSH6	XPC	954
DDB2	XPC	989
YY1	XPC	902
SMARCB1	XPC	973
ERCC8	XPC	933
ATM	XPC	959
ATP6V1E1	FLCN	900
ATP6V1A	FLCN	946
ATP6V1B2	FLCN	902
ERCC1	ERCC3	949
TAF4	ERCC3	921
ERCC8	ERCC3	900
XPC	ERCC3	945
AAAS	GEMIN5	902
NUP107	GEMIN5	906
NUP133	GEMIN5	904
NUP54	GEMIN5	904
RANBP2	GEMIN5	911
TYROBP	CSF1R	995
CBL	CSF1R	992
RRAS	RASA2	962
KRAS	RASA2	915
AHCY	ADK	965
AMPD2	ADK	970
PDE8B	ADK	917
PRKG2	KCNMA1	918
CACNA1C	KCNMA1	935
EFNB1	TIAM1	945
KRAS	TIAM1	980
NTRK2	TIAM1	977
PAK1	TIAM1	912
SETX	SCAF4	912
UQCRC1	COX6A2	938
ATP5F1D	COX6A2	975
COX6B1	COX6A2	996
NDUFA10	COX6A2	913
NDUFS3	COX6A2	918
NDUFA9	COX6A2	906
NDUFB10	COX6A2	986
NDUFS6	COX6A2	983
NDUFB9	COX6A2	975
TRIP13	BUB1B	953
KIF11	BUB1B	994
PLK4	BUB1B	917
ARL3	PDE6D	991
PIK3R2	KIT	969
KRAS	KIT	969
PIK3CA	KIT	977
CBL	KIT	978
STAT3	KIT	962
STX1A	CACNA1D	964
SNAP25	CACNA1D	931
GNB5	CACNA1D	903
CACNA1C	CACNA1D	976
COQ9	COQ5	974
MAPK1	BRAF	987
RAP1B	BRAF	951
RAF1	BRAF	993
KRAS	BRAF	999
RRAS2	BRAF	909
MAP2K2	BRAF	996
YWHAE	BRAF	971
PEX16	PEX10	933
PEX1	PEX10	970
GOT2	HPD	923
RAF1	MRAS	989
BRAF	MRAS	937
MAPK1	NCF1	920
PAK1	NCF1	963
ATP5F1D	ATP5PO	999
NDUFB3	ATP5PO	902
ATP5F1E	ATP5PO	997
NDUFS3	ATP5PO	955
NDUFB10	ATP5PO	946
NDUFB9	ATP5PO	915
ATP5MC3	ATP5PO	985
UFD1	AMFR	921
ERLIN2	AMFR	983
NGLY1	AMFR	954
UBE3A	CTBP1	905
APC	CTBP1	981
HNF1A	CTBP1	902
CREBBP	CTBP1	968
EP300	CTBP1	978
RB1	CTBP1	957
PRDM16	CTBP1	990
NOTCH1	CTBP1	942
ATM	CTBP1	924
MED17	MED27	997
MED13L	MED27	973
ATP5F1D	VMA12	907
ATP5F1E	VMA12	906
ATP6V0A1	VMA12	924
ATP5PO	VMA12	904
AP4S1	AP2M1	954
AP4E1	AP2M1	962
PRKCG	AP2M1	904
GRIA4	AP2M1	915
CHKA	PCYT1A	978
GCDH	ACOX1	947
DAO	ACOX1	936
CREBBP	ACOX1	904
MLYCD	ACOX1	949
EP300	ACOX1	903
PPARGC1A	ACOX1	964
CPT1A	ACOX1	984
ACAT1	ACOX1	947
OTC	NAGS	989
GOT2	NAGS	912
MED17	MED11	999
MED27	MED11	993
SNAP29	STX5	969
STX1A	STX5	980
GOSR2	STX5	999
COG3	STX5	936
SEC24D	STX5	937
APC	LRP5	968
CDH2	LRP5	999
PDGFRB	ARPC5	900
ABCD1	PEX13	979
GDAP1	PEX13	916
PEX16	PEX13	993
PEX1	PEX13	981
PEX10	PEX13	995
BBS9	BBS5	999
BBS2	BBS5	999
MKKS	BBS5	968
BBS7	BBS5	999
BBS4	BBS5	999
CCT5	BBS5	904
MAPK1	MITF	942
EP300	MITF	989
PROKR2	PROK2	989
MOGS	STT3B	958
FIG4	MTMR14	950
BBS9	LZTFL1	992
BBS2	LZTFL1	979
BBS7	LZTFL1	986
BBS4	LZTFL1	979
BBS5	LZTFL1	990
NODAL	CRIPTO	964
CREBBP	SNIP1	953
EP300	SNIP1	966
GRIN2D	GRIA2	931
PRKCG	GRIA2	968
CDH2	GRIA2	998
GRIA4	GRIA2	958
AP2M1	GRIA2	926
NDUFS6	NDUFAF2	933
HBA2	RPS23	923
EIF2S3	RPS23	988
UQCRC1	NDUFS4	974
ATP5F1D	NDUFS4	941
NDUFS7	NDUFS4	999
NDUFB3	NDUFS4	999
ATP5F1E	NDUFS4	943
COX6B1	NDUFS4	904
NDUFA2	NDUFS4	999
NDUFA10	NDUFS4	999
NDUFAF1	NDUFS4	959
NDUFS3	NDUFS4	999
NDUFA9	NDUFS4	999
NDUFB10	NDUFS4	999
NDUFS6	NDUFS4	999
NDUFB11	NDUFS4	999
NDUFB9	NDUFS4	999
NDUFC2	NDUFS4	999
ATP5PO	NDUFS4	987
NDUFAF2	NDUFS4	943
COG3	COG5	999
GET4	CAMLG	957
BMP4	SHH	926
PSMC1	SHH	900
PSMB1	SHH	900
DISP1	SHH	995
COL1A1	COL1A2	999
SPARC	COL1A2	990
ADAMTS2	COL1A2	977
COL6A3	COL1A2	917
STAG2	RAD21	999
MSH6	RAD21	900
CTCF	RAD21	996
NIPBL	RAD21	999
AP4S1	AP5Z1	965
ZFYVE26	AP5Z1	941
AP4E1	AP5Z1	961
SPG11	AP5Z1	967
AP2M1	AP5Z1	910
CHMP2B	UBAP1	941
PTPN23	UBAP1	995
SPTLC1	SPTSSA	994
PYGL	PGM2L1	933
PIK3CA	INPPL1	933
CBL	INPPL1	984
SLC32A1	SLC18A2	941
SLC6A3	SLC18A2	963
ATIC	HPRT1	958
AMPD2	HPRT1	931
SHH	GAS1	999
LAMB1	RAPSN	909
CHRNA1	RAPSN	979
PAK1	RAPSN	905
STUB1	LRRK2	909
KRAS	SPRED1	944
PSMC1	SPRED1	900
PSMB1	SPRED1	901
ITGA3	JAM3	930
ITGB6	JAM3	900
SORL1	VPS35	964
LRRK2	VPS35	979
UQCRC1	NDUFB8	962
ATP5F1D	NDUFB8	960
NDUFS7	NDUFB8	999
NDUFB3	NDUFB8	998
PMPCB	NDUFB8	941
NDUFA2	NDUFB8	999
NDUFA10	NDUFB8	999
NDUFAF1	NDUFB8	944
NDUFS3	NDUFB8	999
NDUFA9	NDUFB8	999
NDUFB10	NDUFB8	999
NDUFS6	NDUFB8	999
NDUFB11	NDUFB8	999
NDUFB9	NDUFB8	999
NDUFC2	NDUFB8	998
COX6A2	NDUFB8	905
NDUFS4	NDUFB8	999
HNF1A	PCBD1	998
QDPR	PCBD1	983
COX15	COX11	924
SCO1	COX11	970
COG3	COG1	999
COG5	COG1	999
COQ9	COQ4	986
COQ5	COQ4	989
COL1A1	COL6A2	948
COL6A3	COL6A2	990
PGAP2	PGAP3	940
KDM4B	KMT2D	978
KDM6B	KMT2D	928
KMT2C	KMT2D	993
CREBBP	KMT2D	920
EP300	KMT2D	981
EED	KMT2D	950
TUBB2B	TUBA1A	986
CHMP2B	TUBA1A	902
LRRK2	TUBA1A	910
SNIP1	SRRM2	997
ERCC1	DDB1	932
H4C5	DDB1	934
DDB2	DDB1	999
YY1	DDB1	911
ERCC8	DDB1	999
PHIP	DDB1	935
XPC	DDB1	934
ADAM22	LGI3	937
EFNB1	MAP2K1	907
MAPK1	MAP2K1	998
RAF1	MAP2K1	998
KRAS	MAP2K1	988
MAP2K2	MAP2K1	970
PIK3CA	MAP2K1	974
YWHAE	MAP2K1	941
STAT3	MAP2K1	965
PAK1	MAP2K1	972
BRAF	MAP2K1	999
SHH	MAP2K1	932
KIF11	BUB1	997
PLK4	BUB1	942
BUB1B	BUB1	998
POLR1A	UBTF	973
CTCF	UBTF	901
RRAS	SEMA3E	954
PEX16	PEX6	923
PEX1	PEX6	997
PEX10	PEX6	983
PEX13	PEX6	989
PIK3CA	INSR	958
CBL	INSR	937
STX1A	ABCC8	966
RAPSN	CHRNB1	990
RRM2B	DTYMK	942
TK2	DTYMK	951
B9D2	TCTN2	962
TMEM231	TCTN2	973
B9D1	TCTN2	970
RFXAP	RFXANK	999
HDAC4	RFXANK	992
GNAO1	GNB2	912
CACNA1C	GNB2	907
CACNA1D	GNB2	904
COG3	COG7	999
COG5	COG7	999
COG1	COG7	999
COG3	COG8	999
VPS51	COG8	920
COG5	COG8	999
COG1	COG8	999
COG7	COG8	998
STX1B	CPLX1	902
STX1A	CPLX1	999
SNAP25	CPLX1	999
SYT1	CPLX1	997
COL1A1	BMP1	969
LOXL1	BMP1	965
COL1A2	BMP1	962
PRKCG	ITPR1	918
PRKG2	ITPR1	921
ERLIN2	ITPR1	930
SIGMAR1	ITPR1	963
OSGEP	GON7	999
TPRKB	GON7	996
MAPK1	YWHAG	939
LAMB1	YWHAG	900
RAF1	YWHAG	990
KRAS	YWHAG	933
MAP2K2	YWHAG	909
YWHAE	YWHAG	994
HDAC4	YWHAG	957
SIK1	YWHAG	915
BRAF	YWHAG	977
LRRK2	YWHAG	952
MAP2K1	YWHAG	935
UQCRC1	UQCRFS1	999
ATP5F1D	UQCRFS1	976
ACO2	UQCRFS1	933
SLC25A3	UQCRFS1	907
NDUFS7	UQCRFS1	999
NDUFB3	UQCRFS1	977
COX6B1	UQCRFS1	990
PMPCB	UQCRFS1	968
NDUFA2	UQCRFS1	995
NDUFA10	UQCRFS1	986
NDUFS3	UQCRFS1	996
SDHA	UQCRFS1	987
NDUFA9	UQCRFS1	999
NDUFB10	UQCRFS1	962
NDUFS6	UQCRFS1	966
NDUFB9	UQCRFS1	997
NDUFC2	UQCRFS1	987
ATP5MC3	UQCRFS1	946
COX6A2	UQCRFS1	957
ATP5PO	UQCRFS1	959
NDUFS4	UQCRFS1	998
NDUFB8	UQCRFS1	993
GCK	GLB1	900
HEXB	GLB1	962
HEXA	GLB1	969
CDH2	CTNND2	992
H4C5	BPTF	910
H3-3A	BPTF	990
SRCAP	BPTF	902
SETD1A	BPTF	972
SMARCC2	BPTF	902
NIPBL	BPTF	942
MFN2	EIF2AK3	972
EIF2S3	EIF2AK3	919
DLD	PDHB	999
ACO2	PDHB	968
OGDH	PDHB	957
PDHX	PDHB	999
BCKDHA	PDHB	989
DLAT	PDHB	999
MYL2	MYL1	956
MYH2	MYL1	964
ERCC1	WDR48	936
RARS1	QARS1	999
NARS1	QARS1	939
AARS1	QARS1	969
MARS1	QARS1	999
DARS1	QARS1	999
NARS2	QARS1	954
MARS2	QARS1	949
VPS51	VPS50	999
ATIC	CANT1	903
HPRT1	CANT1	904
H4C5	H1-4	965
LMNB1	H1-4	911
CREBBP	H1-4	922
EP300	H1-4	920
RB1	H1-4	900
TP53	H1-4	921
TARDBP	U2AF2	917
HNRNPU	U2AF2	902
CAD	GLUL	946
RNASEH2A	RNASEH2C	999
VRK1	LEMD3	959
LMNB1	LEMD3	997
AAAS	GLE1	959
NUP107	GLE1	995
NUP133	GLE1	992
NUP54	GLE1	991
UPF3B	GLE1	920
RANBP2	GLE1	967
GABRB1	GABRB3	907
TGFB1	PLG	958
PMM2	GMPPB	968
RXYLT1	B4GAT1	984
LIFR	CLCF1	913
PIGU	PIGS	993
PIGT	PIGS	999
VPS33A	VPS41	999
LIAS	LIPT2	994
TAF4	HCFC1	914
YY1	HCFC1	995
KANSL1	HCFC1	929
SETD1A	HCFC1	999
KMT2D	HCFC1	911
MTX2	MICOS13	926
MAPK1	TERT	924
UBE3A	TERT	931
YWHAE	TERT	905
RB1	TERT	945
TINF2	TERT	918
TP53	TERT	984
POLG	TWNK	971
ERCC1	ERCC4	999
MSH2	ERCC4	990
MSH6	ERCC4	993
ERCC8	ERCC4	978
ATM	ERCC4	969
XPC	ERCC4	986
ERCC3	ERCC4	992
WDR48	ERCC4	914
CYP27A1	CYP7B1	940
PMPCB	COQ2	905
COQ9	COQ2	947
COQ5	COQ2	945
COQ4	COQ2	946
GNAO1	ADCY6	943
ATXN10	IQCB1	910
TGFB1	LTBP4	925
H4C5	MSL3	964
ADAM22	LGI4	984
HSD17B10	TRMT10C	999
SETD1A	KMT2E	945
NDUFS7	ACAD9	998
NDUFAF1	ACAD9	999
NDUFS3	ACAD9	998
LMNB1	CASP2	928
MADD	CASP2	906
HNF1A	HNF4A	989
CREBBP	HNF4A	901
EP300	HNF4A	969
PPARGC1A	HNF4A	998
TP53	HNF4A	917
PYGL	PHKB	959
STN1	CTC1	999
TINF2	CTC1	958
TMEM231	TMEM107	926
B9D1	TMEM107	901
TCTN2	TMEM107	944
MITF	TFE3	960
STX1B	VAMP2	990
SNAP29	VAMP2	978
SLC32A1	VAMP2	918
STX1A	VAMP2	999
SNAP25	VAMP2	999
SYT1	VAMP2	999
YWHAE	VAMP2	910
CACNA1C	VAMP2	927
ATM	VAMP2	968
CACNA1D	VAMP2	921
STX5	VAMP2	967
CPLX1	VAMP2	995
YWHAG	VAMP2	915
ITPR1	CA8	938
GALC	GBA1	954
GLB1	GBA1	968
DAO	CRAT	916
MLYCD	CRAT	939
ACOX1	CRAT	972
L2HGDH	D2HGDH	944
PEX16	PEX7	915
PEX1	PEX7	954
PHYH	PEX7	924
PEX10	PEX7	987
PEX13	PEX7	999
PEX6	PEX7	973
PMPCB	PAM16	963
UQCRC1	NDUFS8	992
ATP5F1D	NDUFS8	986
