category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	87/1366	278/9446	0.3129496402877698	2.164071963512645	8.100010381671733	3.1449193580135605e-13	1.0120922297607276e-11	6.0791742614233415e-12	UQCRFS1/GRIN2B/CACNA1C/TUBB2B/TUBA1A/TUBB3/SDHB/CSNK2A1/TUBB/CACNA1S/SDHD/ITPR1/TUBB4B/GRIN1/NDUFS4/RYR1/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/PSMB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/TUBB4A/PIK3CA/PPP3CA/RAC1/KIF5A/NDUFB11/GRIN2A/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/CACNA1B/ATP5PO/NDUFA8/NCF1/TUBB2A/PSMD12/CACNA1D/NDUFA2/COX8A/ATP5MC3/KLC2/NDUFA4/MT-ND4/MT-ND5/MT-ND6/KIF5C/SLC25A4/SOD1/EIF2AK3/NOTCH1/GRIN2D/PRNP/NDUFB8/COX6B1/COX6A2/COX4I1/MAPK1/SDHA/CSNK2B/TUBA8/PIK3CD/UQCRC1/NDUFA9/NDUFC2/UQCRQ/PSMC1/NDUFA13/PIK3R2	87
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	94/1366	311/9446	0.3022508038585209	2.0900886480582637	8.03726681801249	3.457066614521013e-13	1.0198346512836988e-11	6.1256794397653035e-12	UQCRFS1/GRIN2B/TUBB2B/TUBA1A/TUBB3/SDHB/TUBB/SDHD/ITPR1/SIN3A/TUBB4B/GRIN1/CLTC/NDUFS4/AP2M1/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/BDNF/CREBBP/EP300/NDUFA12/NDUFB9/NDUFB3/NDUFA10/MTOR/PLCB1/PSMB1/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/TUBB4A/PLCB4/KIF5A/TAF4/NDUFB11/KCNJ10/SLC1A3/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/CACNA1B/ATP5PO/NDUFA8/STX1A/TUBB2A/PSMD12/NDUFA2/COX8A/TBP/PPARGC1A/DCTN1/GRIA2/ATP5MC3/KLC2/NDUFA4/MT-ND4/MT-ND5/MT-ND6/GRIA3/HTT/TP53/KIF5C/SLC25A4/SOD1/GRIA4/SLC1A2/NDUFB8/COX6B1/COX6A2/COX4I1/SDHA/POLR2A/TUBA8/PLCB3/UQCRC1/NDUFA9/NDUFC2/UQCRQ/PSMC1/NDUFA13/CLTCL1	94
Metabolism	Glycan biosynthesis and metabolism	hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	21/1366	30/9446	0.7	4.840556368960469	8.662479036560041	7.772945864844553e-12	2.1166329508884397e-10	1.2713644248571657e-10	PIGO/GPAA1/PIGG/PIGA/PIGL/PGAP2/PIGV/PIGU/PGAP1/PIGT/PIGN/PGAP3/PIGK/DPM2/PIGB/PIGH/PIGS/PIGY/PIGP/PIGW/PIGQ	21
Metabolism	Global and overview maps	hsa01200	Carbon metabolism	46/1366	117/9446	0.39316239316239315	2.718749608939946	7.691457543707874	2.823212466343334e-11	7.138694379182431e-10	4.2878866030176955e-10	GLDC/FBP1/GCK/TKT/SDHB/PRPS1/SDHD/DLAT/ACOX1/MDH2/HIBCH/MMUT/PC/DLD/TPI1/SUCLA2/CPS1/ACAT1/OGDH/GCSH/IDH2/PDHA1/ACO2/ALDH6A1/ACAT2/FH/ECHS1/GPT2/ACADS/ALDOA/SUCLG1/GLYCTK/PDHB/MCEE/RPIA/PSPH/PHGDH/PSAT1/MDH1/IDH1/SDHA/GOT2/SHMT2/PCCA/PCCB/HK1	46
Human Diseases	Cancer: overview	hsa05208	Chemical carcinogenesis - reactive oxygen species	71/1366	227/9446	0.31277533039647576	2.1628665965776794	7.2915786910707565	5.213955716476606e-11	1.230493549088479e-9	7.391010910373856e-10	UQCRFS1/MAP2K1/MAP2K2/SDHB/SDHD/NDUFS4/PTEN/NDUFS8/NDUFV1/ATP5F1A/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/SLC26A2/RAF1/KRAS/NRAS/SOS1/SOS2/PTPN11/MT-ATP8/ATP5F1E/ATP5F1D/MT-ATP6/COX5A/PIK3CA/RAC1/NDUFB11/BRAF/NDUFA1/NDUFB10/MT-ND1/MT-ND3/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/MT-ND2/HRAS/IKBKG/ATP5PO/NDUFA8/NCF1/NDUFA2/COX8A/ATP5MC3/NDUFA4/MT-ND4/MT-ND5/MT-ND6/SLC25A4/SOD1/PRKD1/NDUFB8/COX6B1/COX6A2/COX4I1/MAPK1/SDHA/PIK3CD/UQCRC1/NDUFA9/NDUFC2/UQCRQ/NDUFA13/PIK3R2	71
Metabolism	Carbohydrate metabolism	hsa00640	Propanoate metabolism	20/1366	32/9446	0.625	4.32192532942899	7.739241675330342	5.562002808281644e-10	1.2305931213323139e-8	7.391608995216397e-9	HADHA/ACACA/ACOX1/MLYCD/HIBCH/MMUT/DLD/SUCLA2/BCKDHA/ALDH6A1/ECHS1/ACADS/SUCLG1/ABAT/MCEE/LDHA/BCKDHB/DBT/PCCA/PCCB	20
Organismal Systems	Nervous system	hsa04720	Long-term potentiation	29/1366	67/9446	0.43283582089552236	2.9930945565000764	6.731435470062069	1.000018463319903e-8	2.0823913883249748e-7	1.2507970872484236e-7	CAMK2G/MAP2K1/MAP2K2/GRIN2B/CACNA1C/RAP1B/ITPR1/GRIN1/CAMK2B/CAMK2A/CREBBP/EP300/RPS6KA3/RAF1/KRAS/NRAS/PLCB1/PLCB4/PPP3CA/BRAF/GRIN2A/HRAS/PPP1CB/GRIA2/GRIN2D/PRKCG/MAPK1/PLCB3/GRM1	29
Cellular Processes	Transport and catabolism	hsa04146	Peroxisome	33/1366	83/9446	0.39759036144578314	2.7493693661909715	6.581633609978285	1.2893500065422804e-8	2.5357216795331513e-7	1.523091820593805e-7	FAR1/HMGCL/MVK/PEX26/PEX19/PEX2/PEX3/PEX16/PEX6/PEX11B/PEX5/PEX1/PEX12/PEX13/PEX14/PEX10/PHYH/PEX7/MPV17/ACOX1/ACSL4/MLYCD/IDH2/HSD17B4/GNPAT/ABCD4/CRAT/PRDX1/ABCD1/DAO/AMACR/SOD1/IDH1	33
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	34/1366	89/9446	0.38202247191011235	2.641716156415023	6.398017316322764	2.5667608723686848e-8	4.771945770726169e-7	2.8662891635048646e-7	ADCY5/CACNA1C/GLS/GABRG2/CACNA1S/GNB1/GNB2/GABBR1/SLC6A1/SLC12A5/GABRD/GNAI1/GABRA2/GNB5/CACNA1A/GLUL/SLC32A1/ADCY6/GABRB1/CACNA1B/ABAT/CACNA1D/KCNJ6/GPHN/GAD1/SLC38A3/GABRB2/GABRA5/GABRB3/GNAO1/GNAI3/PRKCG/GABBR2/GABRA1	34
Metabolism	Metabolism of cofactors and vitamins	hsa00785	Lipoic acid metabolism	14/1366	20/9446	0.7	4.840556368960469	7.069131724807037	2.7085928874855206e-8	4.771945770726169e-7	2.8662891635048646e-7	GLDC/DLAT/DHTKD1/DLD/LIPT2/OGDH/GCSH/BCKDHA/PDHA1/LIPT1/LIAS/PDHB/BCKDHB/DBT	14
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	49/1366	154/9446	0.3181818181818182	2.200252894982031	6.174462714592013	2.8308152877189137e-8	4.771945770726169e-7	2.8662891635048646e-7	PMM2/PTS/NMNAT1/ALDH3A2/RDH12/MMAB/COX15/CAD/NADK2/DHFR/PPCS/DLD/GMPPA/LIPT2/GMPPB/GUSB/MPI/HPD/COQ7/COQ2/ALPL/GCH1/COQ4/LIPT1/ALAD/EARS2/NFS1/ADSL/MOCS2/TPK1/LIAS/PANK2/EPRS1/PNPO/GPHN/PSAT1/KYNU/GSS/UGDH/FLAD1/COX10/COQ5/COASY/SHMT2/MOCS1/HMBS/UGP2/SPR/UGT1A1	49
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	29/1366	70/9446	0.4142857142857143	2.8648190755072163	6.438690863136248	3.3048462323937025e-8	5.317798028488049e-7	3.194157602600612e-7	MAP2K1/MAP2K2/RAP1B/SLC2A1/CREBBP/EP300/RAF1/KRAS/NRAS/SOS1/SOS2/PTPN11/PIK3CA/RAC1/TGFB3/BRAF/PAK3/HRAS/FH/TFE3/ARNT2/TGFB1/FLCN/PAK1/MAPK1/CDC42/PIK3CD/PDGFB/PIK3R2	29
Cellular Processes	Transport and catabolism	hsa04142	Lysosome	44/1366	133/9446	0.3308270676691729	2.2876958134721868	6.149148102167682	3.986965525889556e-8	6.136459983325665e-7	3.6858903259940057e-7	GNPTAB/FUCA1/GBA1/PSAP/NEU1/ATP6V0A2/HEXB/CLTC/NPC2/AP1G1/AP1S2/AP4M1/NPC1/NAGA/HEXA/AP4E1/AP1S1/SMPD1/GALC/GAA/AP4B1/AP4S1/PPT1/MAN2B1/GUSB/MCOLN1/GLB1/ARSA/ATP6AP1/GM2A/IDUA/SLC17A5/MANBA/AGA/ACP5/CTSD/AP3B2/AP3D1/SUMF1/ATP6V0A1/DMXL2/ASAH1/CLTCL1/CTNS	44
Metabolism	Amino acid metabolism	hsa00310	Lysine degradation	27/1366	63/9446	0.42857142857142855	2.9636059401798787	6.429458600215006	4.164085311926654e-8	6.142025835091814e-7	3.689233478110456e-7	COLGALT1/NSD2/HADHA/NSD1/ALDH3A2/SETD2/HADH/KMT2D/ASH1L/PLOD1/DHTKD1/ALDH7A1/EHMT1/KMT2C/DLD/CAMKMT/KMT2B/PRDM16/ACAT1/EZH2/ACAT2/KMT2A/ECHS1/AASS/GCDH/KMT2E/SETD1A	27
Metabolism	Carbohydrate metabolism	hsa00020	Citrate cycle (TCA cycle)	17/1366	30/9446	0.5666666666666667	3.9185456320156176	6.582858816734997	8.855278228027713e-8	1.2512270805028345e-6	7.51554773302327e-7	SDHB/SDHD/DLAT/MDH2/PC/DLD/SUCLA2/OGDH/IDH2/PDHA1/ACO2/FH/SUCLG1/PDHB/MDH1/IDH1/SDHA	17
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	27/1366	65/9446	0.4153846153846154	2.8724180650974214	6.2281000890195175	9.189803416122514e-8	1.2512270805028345e-6	7.51554773302327e-7	MAP2K1/MAP2K2/CACNA1C/KCNJ11/CACNA1S/ITPR1/GABBR1/CACNA1I/RAF1/KRAS/NRAS/PLCB1/HCN1/PIK3CA/PLCB4/HRAS/CACNA1D/KCNJ6/KCNN3/PRKCG/MAPK1/PIK3CD/PLCB3/KCNN2/GABBR2/CACNA1G/PIK3R2	27
Human Diseases	Cancer: overview	hsa05230	Central carbon metabolism in cancer	28/1366	71/9446	0.39436619718309857	2.727074010681954	6.005859047550189	1.9889909484073596e-7	2.607788132356316e-6	1.566378836562521e-6	FGFR3/SCO2/MAP2K1/MAP2K2/GLS/GCK/RET/PTEN/SLC2A1/MTOR/RAF1/KRAS/NRAS/PIK3CA/KIT/IDH2/PDHA1/HRAS/FGFR1/PDHB/TP53/IDH1/MAPK1/PIK3CD/LDHA/PDGFRB/HK1/PIK3R2	28
Organismal Systems	Nervous system	hsa04730	Long-term depression	25/1366	60/9446	0.4166666666666667	2.88128355295266	6.010495265289762	2.5572200779203117e-7	3.233056812799251e-6	1.9419490817289583e-6	PRKG2/MAP2K1/MAP2K2/PPP2CA/ITPR1/RYR1/RAF1/KRAS/NRAS/PLCB1/PLCB4/GNAI1/PPP2R1A/BRAF/CACNA1A/HRAS/GRID2/GRIA2/GRIA3/GNAO1/GNAI3/PRKCG/MAPK1/PLCB3/GRM1	25
Metabolism	Glycan biosynthesis and metabolism	hsa00515	Mannose type O-glycan biosynthesis	14/1366	23/9446	0.6086956521739131	4.209179451269973	6.335544935881191	3.71915703901736e-7	4.539936523490158e-6	2.726931839860279e-6	B4GAT1/FKTN/FKRP/B4GALT1/CRPPA/LARGE1/ST3GAL3/B3GALNT2/POMT2/POMGNT1/POMT1/POMGNT2/RXYLT1/POMK	14
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	47/1366	157/9446	0.29936305732484075	2.070119648236051	5.559277246964387	4.174148881952511e-7	4.925495680703963e-6	2.958519558436517e-6	UQCRFS1/INS/SDHB/SDHD/NDUFS4/NDUFS8/NDUFV1/NDUFS1/NDUFS2/NDUFA12/NDUFB9/NDUFB3/NDUFA10/COX5A/PIK3CA/MLXIPL/ITCH/RAC1/NDUFB11/NDUFA1/NDUFB10/NDUFV2/NDUFS6/NDUFS3/NDUFA11/NDUFS7/NDUFA6/NDUFA8/NDUFA2/COX8A/NDUFA4/EIF2AK3/TGFB1/NDUFB8/COX6B1/COX6A2/COX4I1/SDHA/CDC42/PIK3CD/UQCRC1/NDUFA9/NDUFC2/UQCRQ/NDUFA13/INSR/PIK3R2	47
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	38/1366	116/9446	0.3275862068965517	2.265285000252436	5.637637959913276	4.428649000988162e-7	5.057231439838095e-6	3.037647192528383e-6	CAMK2G/CHRNA7/MAP2K1/ADCY5/CACNA1C/CACNA1S/ITPR1/GNB1/SLC5A7/CHAT/SLC18A3/CAMK2B/CAMK2A/GNB2/KCNQ2/KRAS/NRAS/PLCB1/PIK3CA/PLCB4/GNAI1/GNB5/CACNA1A/KCNQ5/PIK3CG/HRAS/ADCY6/CACNA1B/CACNA1D/KCNJ6/KCNQ3/GNAO1/GNAI3/PRKCG/MAPK1/PIK3CD/PLCB3/PIK3R2	38
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	20/1366	43/9446	0.46511627906976744	3.2163165242262246	5.988988023381353	4.781554037009821e-7	5.289594153442114e-6	3.177216827223631e-6	HADHB/HADHA/ALDH3A2/ACADM/CPT1A/HADH/ACOX1/ACSL4/ALDH7A1/CPT2/ACAT1/ACAT2/ECHS1/ACADVL/ACADS/ACADSB/GCDH/ADH1C/CPT1C/CYP2U1	20
